cardnumber,cardname,pokemon,rarity,cardtype
1,Venusaur EX,Venusaur,EX Rare,Pokemon
2,M Venusaur EX,Mega Venusaur,EX Rare,Pokemon
3,Caterpie,Caterpie,Common,Pokemon
4,Metapod,Metapod,Uncommon,Pokemon
5,Weedle,Weedle,Common,Pokemon
6,Kakuna,Kakuna,Uncommon,Pokemon
7,Beedrill,Beedrill,Rare,Pokemon
8,Tangela,Tangela,Common,Pokemon
9,Charmander,Charmander,Common,Pokemon
10,Charmeleon,Charmeleon,Uncommon,Pokemon
11,Charizard,Charizard,Holo Rare,Pokemon
12,Charizard EX,Charizard,EX Rare,Pokemon
13,M Charizard EX,Mega Charizard,EX Rare,Pokemon
14,Vulpix,Vulpix,Common,Pokemon
15,Ninetales,Ninetales,Holo Rare,Pokemon
16,Ninetales BREAK,Ninetales,Break Rare,Pokemon
17,Growlithe,Growlithe,Common,Pokemon
18,Arcanine,Arcanine,Rare,Pokemon
19,Ponyta,Ponyta,Common,Pokemon
20,Magmar,Magmar,Uncommon,Pokemon
21,Blastoise EX,Blastoise,EX Rare,Pokemon
22,M Blastoise EX,Mega Blastoise,EX Rare,Pokemon
23,Poliwag,Poliwag,Common,Pokemon
24,Poliwhirl,Poliwhirl,Uncommon,Pokemon
25,Poliwrath,Poliwrath,Holo Rare,Pokemon
26,Slowbro EX,Slowbro,EX Rare,Pokemon
27,M Slowbro EX,Mega Slowbro,EX Rare,Pokemon
28,Seel,Seel,Common,Pokemon
29,Dewgong,Dewgong,Rare,Pokemon
30,Staryu,Staryu,Common,Pokemon
31,Starmie,Starmie,Rare,Pokemon
32,Starmie BREAK,Starmie,Break Rare,Pokemon
33,Magikarp,Magikarp,Common,Pokemon
34,Gyarados,Gyarados,Holo Rare,Pokemon
35,Pikachu,Pikachu,Common,Pokemon
36,Raichu,Raichu,Holo Rare,Pokemon
37,Magnemite,Magnemite,Common,Pokemon
38,Magneton,Magneton,Rare Holo,Pokemon
39,Voltorb,Voltorb,Common,Pokemon
40,Electrode,Electrode,Rare,Pokemon
41,Electabuzz,Electabuzz,Common,Pokemon
42,Zapdos,Zapdos,Holo Rare,Pokemon
43,Nidoran ♂,Nidoran ♂,Common,Pokemon
44,Nidorino,Nidorino,Uncommon,Pokemon
45,Nidoking,Nidoking,Holo Rare,Pokemon
46,Nidoking BREAK,Nidoking,Break Rare,Pokemon
47,Gastly,Gastly,Common,Pokemon
48,Haunter,Haunter,Uncommon,Pokemon
